run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_strategy	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR5988460	SAMN07571793	SRX3144235	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988460/SRR5988460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988460/SRR5988460_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/000/SRR5988460	GSM2758825	12.5_NB(p)_B108T69	
SRR5988470	SAMN07571783	SRX3144245	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988470/SRR5988470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988470/SRR5988470_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/000/SRR5988470	GSM2758835	12.5_NNE_B108T6	
SRR5988481	SAMN07571771	SRX3144256	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5988481/SRR5988481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5988481/SRR5988481_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/001/SRR5988481	GSM2758846	14_ANF/PPE_B108T56	
SRR5988483	SAMN07571769	SRX3144258	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988483/SRR5988483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988483/SRR5988483_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/003/SRR5988483	GSM2758848	14_NP(p)_B108T77	
SRR5988486	SAMN07571766	SRX3144261	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988486/SRR5988486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988486/SRR5988486_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/006/SRR5988486	GSM2758851	14_NNE(p)_B108T95	
SRR5988487	SAMN07571765	SRX3144262	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988487/SRR5988487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988487/SRR5988487_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/007/SRR5988487	GSM2758852	14_ANF/PPE_B100T9	
SRR5988489	SAMN07571763	SRX3144264	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988489/SRR5988489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988489/SRR5988489_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/009/SRR5988489	GSM2758854	14_ANF/PPE_B108T8	
SRR5988493	SAMN07571759	SRX3144268	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988493/SRR5988493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988493/SRR5988493_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/003/SRR5988493	GSM2758858	14_NNE(a)_B108T96	
SRR5988494	SAMN07571758	SRX3144269	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988494/SRR5988494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988494/SRR5988494_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/004/SRR5988494	GSM2758859	14_ANF/PPE_B108T57	
SRR5988495	SAMN07571757	SRX3144270	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988495/SRR5988495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988495/SRR5988495_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/005/SRR5988495	GSM2758860	14_NP(p)_B108T58	
SRR5988499	SAMN07571753	SRX3144274	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988499/SRR5988499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988499/SRR5988499_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/009/SRR5988499	GSM2758864	14_WE_B108T27	
SRR5988500	SAMN07571752	SRX3144275	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988500/SRR5988500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988500/SRR5988500_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/000/SRR5988500	GSM2758865	14_NB(a)_B108T28	
SRR5988501	SAMN07571751	SRX3144276	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5988501/SRR5988501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5988501/SRR5988501_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/001/SRR5988501	GSM2758866	14_NB(a)_B108T84	
SRR5988504	SAMN07571813	SRX3144279	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988504/SRR5988504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988504/SRR5988504_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/004/SRR5988504	GSM2758869	12_WE_B108T36	
SRR5988507	SAMN07571810	SRX3144282	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988507/SRR5988507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988507/SRR5988507_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/007/SRR5988507	GSM2758872	14-15_WE_B108T39	
SRR5988508	SAMN07571809	SRX3144283	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988508/SRR5988508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988508/SRR5988508_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/008/SRR5988508	GSM2758873	16-17_WE_B108T40	
SRR5988511	SAMN07571803	SRX3144286	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5988511/SRR5988511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5988511/SRR5988511_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/001/SRR5988511	GSM2758876	12_WE_B108T43	
SRR5988513	SAMN07571807	SRX3144288	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988513/SRR5988513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988513/SRR5988513_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/003/SRR5988513	GSM2758878	13_WE_B108T45	
SRR5988514	SAMN07571806	SRX3144289	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988514/SRR5988514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988514/SRR5988514_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/004/SRR5988514	GSM2758879	14-15_WE_B108T46	
