run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_strategy	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR5988472	SAMN07571781	SRX3144247	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988472/SRR5988472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988472/SRR5988472_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/002/SRR5988472	GSM2758837	12.5_NB(a)_B108T89	
SRR5988476	SAMN07571776	SRX3144251	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988476/SRR5988476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988476/SRR5988476_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/006/SRR5988476	GSM2758841	14_NB(a)_B108T90	
SRR5988477	SAMN07571775	SRX3144252	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988477/SRR5988477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988477/SRR5988477_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/007/SRR5988477	GSM2758842	14_NB(p)_B108T91	
SRR5988478	SAMN07571774	SRX3144253	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988478/SRR5988478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988478/SRR5988478_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/008/SRR5988478	GSM2758843	14_NNE(a)_B108T92	
SRR5988479	SAMN07571773	SRX3144254	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988479/SRR5988479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988479/SRR5988479_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/009/SRR5988479	GSM2758844	14_NNE(p)_B108T93	
SRR5988485	SAMN07571767	SRX3144260	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988485/SRR5988485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988485/SRR5988485_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/005/SRR5988485	GSM2758850	14_NNE(p)_B108T94	
SRR5988488	SAMN07571764	SRX3144263	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988488/SRR5988488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988488/SRR5988488_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/008/SRR5988488	GSM2758853	14_NB(p)_B100T17	
SRR5988490	SAMN07571762	SRX3144265	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988490/SRR5988490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988490/SRR5988490_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/000/SRR5988490	GSM2758855	14_NP(p)_B108T79	
SRR5988492	SAMN07571760	SRX3144267	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988492/SRR5988492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988492/SRR5988492_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/002/SRR5988492	GSM2758857	14_NB(p)_B108T81	
SRR5988496	SAMN07571756	SRX3144271	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988496/SRR5988496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988496/SRR5988496_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/006/SRR5988496	GSM2758861	14_NNE(a)_B108T82	
SRR5988497	SAMN07571755	SRX3144272	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988497/SRR5988497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988497/SRR5988497_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/007/SRR5988497	GSM2758862	14_ANF/PPE_B108T59	
SRR5988502	SAMN07571750	SRX3144277	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988502/SRR5988502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988502/SRR5988502_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/002/SRR5988502	GSM2758867	14_NB(p)_B100T20	
SRR5988506	SAMN07571811	SRX3144281	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988506/SRR5988506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988506/SRR5988506_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/006/SRR5988506	GSM2758871	13_WE_B108T38	
SRR5988510	SAMN07571804	SRX3144285	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988510/SRR5988510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988510/SRR5988510_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/000/SRR5988510	GSM2758875	11-11.5_WE_B108T42	
SRR5988512	SAMN07571808	SRX3144287	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988512/SRR5988512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988512/SRR5988512_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/002/SRR5988512	GSM2758877	12.5_WE_B108T44	
SRR5988519	SAMN07571798	SRX3144294	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988519/SRR5988519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988519/SRR5988519_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/009/SRR5988519	GSM2758884	17_NC_B108T14	
